Aktivität,Kategorie,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Whatsapp,Kommunikation,94,93,92,94,93,95,94,95,89,,,,,,,,,,
Instagram,Soziales Netzwerk,62,62,58,72,64,67,57,51,44,,,,,,,,,,
TikTok,Soziales Netzwerk,59,54,46,33,14,,,,,,,,,,,,,,
Snapchat,Soziales Netzwerk,49.5,45,42,51,46,54,49,45,31,,,,,,,,,,
Facebook,Soziales Netzwerk,21.5,28,26,17,15,15,25,43,51,62.25,75,77.5,76.75,70,,,,,
Discord,Kommunikation,18,16,15,,,,,,,,,,,,,,,,
BeReal,Soziales Netzwerk,16,,,,,,,,,,,,,,,,,,
Pinterest,Information,15.5,13,13,13,7,10,6,4,3,,,,,,,,,,
Twitch,Unterhaltungerhaltung,13,11,12,14,,,,,,,,,,,,,,,
Twitter,Information,12,11,10,13,7,8,9,9,10,6.5,5,5.5,4.5,4,4,,,,
Telegram,Kommunikation,9.5,8,8,8,,,,,,,,,,,,,,,
Signal,Kommunikation,8.5,6,6,,,,,,,,,,,,,,,,
Teamspeak,Kommunikation,4,3,5,,,,,,,,,,,,,,,,
Threema,Kommunikation,3.5,3,4,4,3,,,,,,,,,,,,,,
Mastodon,Information,2,,,,,,,,,,,,,,,,,,
Zoom,Kommunikation,,12,5,6,,,,,,,,,,,,,,,
Facetime,Kommunikation,,12,10,11,,,,,,,,,,,,,,,
Clubhouse,Soziales Netzwerk,,,2,,,,,,,,,,,,,,,,
Skype,Kommunikation,,6,6,6,3,4,8,17,21,20.25,28,19.25,19.5,14,12,,,,
Google Hangout,Kommunikation,,,,5,,,,,,,,,,,,,,,
Google Plus,Information,,,,,,3,3,6,9,,,,,,,,,,
Tumbler,Soziales Netzwerk,,,,,,4,4,4,6,,,,,,,,,,
Suchmaschinen,Information,,38.75,41,88,87,87,85,86.25,81.5,85,80,82,80,78,76.75,73,,,
YouTube Informationo,Information,33,22.25,26,65,55,60,61,56.75,58.75,,,,,,,,,,
Wikipedia,Information,,,,40,33,33,33,35,42.25,40,38,36,37,37.25,37.75,32.5,,,
Informationos Facebook/Twitter,Information,,,,24,16,19,25,35.5,,,,,,,,,,,
Netflix,Unterhaltung,49.5,53,52.5,59,45.5,47,26,16,8,,,,,,,,,,
YouTube ,Unterhaltung,63.25,50,54.25,58.5,48.5,60,52,42,39,,,,,,,,,,
Amazon Prime Video,Unterhaltung,30.75,31,26,26,16.75,22,15,7,4,,,,,,,,,,
Sky,Unterhaltung,11,13.75,9,8.75,7,7,,,,,,,,,,,,,
Magenta TV,Unterhaltung,,6.75,4,5,2,2,2,2,,,,,,,,,,,
Maxdome,Unterhaltung,,,,2.75,1.5,1,2,3,2,,,,,,,,,,
iTunes,Unterhaltung,,3.25,2.5,3,1,1,2,1,1,,,,,,,,,,
Vimeo,Unterhaltung,,2.25,1.75,2.75,1,1,1,1,1,,,,,,,,,,
Disney Plus,Unterhaltung,20,,,,,,,,,,,,,,,,,,
RTL Plus,Unterhaltung,9.75,,,,,,,,,,,,,,,,,,
WOW,Unterhaltung,4.5,,,,,,,,,,,,,,,,,,
Google News,Information,19,19.25,24,,,,,,,,,,,,,,,,
Schlagzeilen Google,Information,,23.5,,,,,,,,,,,,,,,,,
Vine,Unterhaltung,,,,,,,,2,3,,,,,,,,,,
Watchever,Unterhaltung,,,,,,,,,1,,,,,,,,,,
schülerVZ,Soziales Netzwerk,,,,,,,,,,,,,,,70,,,,
