Aktivität,Kategorie1,Kategorie2,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
infos Schule/beruf,Recherche,Information,,,,,,,,,,,,,,,,38.5,36.5,32.5,29.5
internet-Telefon,Voicechat,Kommunikation,,,,,,,,,,,,,,,,7,8,8.5,6
Newsfeeds,Nachrichten,Information,19,15.25,20,,,,,,,,,,,,,,,,
Nachrichten Apps,Nachrichten,Information,17,15.75,16,,,,,,,,,,,,,,,,
Zeitschriften Portal,Nachrichten,Information,13,15,17,18,17,22,23,19.5,21.5,17,15,,,,,,,,
Nachrichten Provider,Nachrichten,Information,,16,12,15,9,7,10,13,18,,,,,,,,37.5,30,32
Nachrichtenportale TV,Nachrichten,Information,21,19.75,20,14,6,6,8,7.75,7,5,5,5,5,4.25,5.5,,,,
Chatten,Chatten,Kommunikation,,,,,,,,,,80.25,33,44,45.5,48,28,29,30,25.5,25.5
Instant-Massanger,Chatten,Kommunikation,,,,,,,,,,9.75,13,23.75,48,63,71,73,71.5,57.5,40.5
E-Mail,Chatten,Kommunikation,,,,,,,,,,40.5,48,52,55.75,55,55,49,59.5,49.5,52
Infos suche,Recherche,Information,,,,,,,,,,44,38,41,38,,,39,40,34,35
Veranstaltungen suchen,Recherche,Information,,,,,,,,,,11,15,,14,11,12.5,13,15.5,12.5,13.5
Newsgroups,Nachrichten,Information,,,,,,,,,13.25,11,15,22,23,21.5,18.5,22,21.5,15.5,13
Video Anleitungen,Recherche Video,Information,,,,,,,,,,12,11,,,,,,,,
Video Produktvorstellung,Recherche Video,Information,,,,,,,,,,11,9,,,,,,,,
Webblogs,Inspiration,Information,,,,,,,,,,7,7,7,8,8.75,8.25,7,6.5,8,3.5
Sport-Live-Ticker,Live Text,Unterhaltung,,,,,,,,,,10,12,11,8,7,9.25,6,,,
Videoportale,Videostreaming,Unterhaltung,,,,,,,,,,74.5,74,71,68,65.5,64,26,19.5,9,6
Surfen ,Inspiration,Information,,,,,,,,,,43,47,42,44.5,44,45,44,,,
TV-Mediatek ,Videostreaming,Unterhaltung,13.25,,,,,,,,,12.5,11,11,9.25,8.25,8,,,,0.5
TV-Live/Internet,Live Videostreaming,Unterhaltung,16.25,,,,,,,,,6,8,5,3.75,4,4,2.5,,1.5,
Internet-Radio,Musikstreaming,Unterhaltung,,,,,,,,,,6,7,12,11,10.25,12,8,9,,6.5
Mediateken ,Videostreaming,Unterhaltung,,23.5,17.25,16.5,8.25,8,8,7,11,5,7,6,5,3.25,3,,,,
Whatsapp,Chatten,Kommunikation,94,93,92,94,93,95,94,95,89,,,,,,,,,,
Instagram,Socials Bild,Soziales Netzwerk,62,62,58,72,64,67,57,51,44,,,,,,,,,,
TikTok,Socials Video,Soziales Netzwerk,59,54,46,33,14,,,,,,,,,,,,,,
Snapchat,Socials Bild Message,Soziales Netzwerk,49.5,45,42,51,46,54,49,45,31,,,,,,,,,,
Facebook,Socials Bild,Soziales Netzwerk,21.5,28,26,17,15,15,25,43,51,62.25,75,77.5,76.75,70,,,,,
Discord,Videochat,Kommunikation,18,16,15,,,,,,,,,,,,,,,,
BeReal,Socials Bild Message,Soziales Netzwerk,16,,,,,,,,,,,,,,,,,,
Pinterest,Inspiration,Information,15.5,13,13,13,7,10,6,4,3,,,,,,,,,,
Twitch,Live Vidoestreaming,Unterhaltung,13,11,12,14,,,,,,,,,,,,,,,
Twitter,Socials Text,Soziales Netzwerk,12,11,10,13,7,8,9,9,10,6.5,5,5.5,4.5,4,4,,,,
Telegram,Chatten,Kommunikation,9.5,8,8,8,,,,,,,,,,,,,,,
Signal,Chatten,Kommunikation,8.5,6,6,,,,,,,,,,,,,,,,
Teamspeak,Voicechat,Kommunikation,4,3,5,,,,,,,,,,,,,,,,
Threema,Chatten,Kommunikation,3.5,3,4,4,3,,,,,,,,,,,,,,
Mastodon,Socials Text,Information,2,,,,,,,,,,,,,,,,,,
Zoom,Videochat,Kommunikation,,12,5,6,,,,,,,,,,,,,,,
Facetime,Videochat,Kommunikation,,12,10,11,,,,,,,,,,,,,,,
Clubhouse,Voicechat,Soziales Netzwerk,,,2,,,,,,,,,,,,,,,,
Skype,Voicechat,Kommunikation,,6,6,6,3,4,8,17,21,20.25,28,19.25,19.5,14,12,,,,
Google Hangout,Videochat,Kommunikation,,,,5,,,,,,,,,,,,,,,
Google Plus,Socials Bild,Soziales Netzwerk,,,,,,3,3,6,9,,,,,,,,,,
Tumbler,Socials Blog,Soziales Netzwerk,,,,,,4,4,4,6,,,,,,,,,,
Suchmaschinen,Recherche,Information,88,88,88,88,87,87,85,86.25,81.5,85,80,82,80,78,76.75,73,,,
YouTube info,Recherche Video,Information,33,22.25,26,65,55,60,61,56.75,58.75,,,,,,,,,,
Wikipedia,Information,Information,40,40,40,40,33,33,33,35,42.25,40,38,36,37,37.25,37.75,32.5,,,
Infos Facebook/Twitter,Recherche Social,Information,25,34,30,24,16,19,25,35.5,,,,,,,,,,,
Netflix,Film streaming,Unterhaltung,49.5,53,52.5,59,45.5,47,26,16,8,,,,,,,,,,
YouTube ,Videostreaming,Unterhaltung,63.25,50,54.25,65,55,60,61,56.75,58.75,,,,,,,,,,
Amazon Prime Video,Film streaming,Unterhaltung,30.75,31,26,26,16.75,22,15,7,4,,,,,,,,,,
Sky,Sport streaming,Unterhaltung,11,13.75,9,8.75,7,7,,,,,,,,,,,,,
Magenta TV,Sport streaming,Unterhaltung,,6.75,4,5,2,2,2,2,,,,,,,,,,,
Maxdome,Film streaming,Unterhaltung,,,,2.75,1.5,1,2,3,2,,,,,,,,,,
