Country,Date,EUVote%
Austria,2019-01-01,59.77
,2014-01-01,45.39
,2009-01-01,45.97
,2004-01-01,42.43
,1999-01-01,49.01
,1996-01-01,67.73
Belgium,2019-01-01,88.47
,2014-01-01,89.64
,2009-01-01,90.39
,2004-01-01,90.81
,1999-01-01,91.05
,1994-01-01,90.66
,1989-01-01,90.73
,1984-01-01,92.09
,1979-01-01,91.36
Bulgaria,2019-01-01,32.85
,2014-01-01,35.79
,2009-01-01,38.92
,2007-01-01,29.22
Croatia,2019-01-01,29.85
,2014-01-01,25.24
,2013-01-01,20.84
Cyprus,2019-01-01,44.99
,2014-01-01,43.97
,2009-01-01,59.40
,2004-01-01,72.50
Czechia,2019-01-01,28.72
,2014-01-01,18.20
,2009-01-01,28.22
,2004-01-01,28.30
Denmark,2019-01-01,66.08
,2014-01-01,56.32
,2009-01-01,59.54
,2004-01-01,47.89
,1999-01-01,50.39
,1994-01-01,52.92
,1989-01-01,46.20
,1984-01-01,52.40
,1979-01-01,47.80
Estonia,2019-01-01,37.59
,2014-01-01,36.52
,2009-01-01,43.90
,2004-01-01,26.83
Finland,2019-01-01,40.76
,2014-01-01,39.14
,2009-01-01,40.48
,2004-01-01,39.43
,1999-01-01,30.14
,1996-01-01,57.60
France,2019-01-01,50.12
,2014-01-01,42.43
,2009-01-01,40.63
,2004-01-01,42.76
,1999-01-01,46.76
,1994-01-01,52.76
,1989-01-01,48.70
,1984-01-01,56.70
,1979-01-01,60.70
Germany,2019-01-01,61.38
,2014-01-01,48.14
,2004-01-01,43.00
,1999-01-01,45.21
,1994-01-01,60.02
,1989-01-01,62.30
,1984-01-01,56.80
,1979-01-01,65.70
Greece,2019-01-01,58.69
,2014-01-01,59.97
,2009-01-01,52.63
,2004-01-01,63.22
,1999-01-01,71.49
,1994-01-01,73.18
,1989-01-01,79.90
,1984-01-01,77.20
,1981-01-01,78.60
Hungary,2019-01-01,43.56
,2014-01-01,28.97
,2009-01-01,36.31
,2004-01-01,38.50
Ireland,2019-01-01,49.68
,2014-01-01,52.44
,2009-01-01,57.57
,2004-01-01,58.58
,1999-01-01,50.21
,1994-01-01,43.98
,1989-01-01,68.30
,1984-01-01,47.60
,1979-01-01,63.60
Italy,2019-01-01,54.50
,2014-01-01,57.22
,2009-01-01,65.05
,2004-01-01,71.72
,1999-01-01,69.76
,1994-01-01,73.60
,1989-01-01,81.00
,1984-01-01,83.40
,1979-01-01,84.90
Latvia,2019-01-01,33.53
,2014-01-01,30.24
,2009-01-01,53.69
,2004-01-01,41.34
Lithuania,2019-01-01,53.48
,2014-01-01,47.35
,2009-01-01,20.98
,2004-01-01,48.38
Luxembourg,2019-01-01,84.10
,2014-01-01,85.55
,2009-01-01,90.76
,2004-01-01,91.35
,1999-01-01,87.27
,1994-01-01,88.55
,1989-01-01,87.40
,1984-01-01,88.80
,1979-01-01,88.90
Malta,2019-01-01,72.66
,2014-01-01,74.80
,2009-01-01,78.79
,2004-01-01,82.39
Netherlands,2019-01-01,41.93
,2014-01-01,37.32
,2009-01-01,36.75
,2004-01-01,39.26
,1999-01-01,30.02
,1994-01-01,35.69
,1989-01-01,47.20
,1984-01-01,50.60
,1979-01-01,58.10
Poland,2019-01-01,45.69
,2014-01-01,23.82
,2009-01-01,24.53
,2004-01-01,20.87
Portugal,2019-01-01,30.75
,2014-01-01,33.67
,2009-01-01,36.78
,2004-01-01,38.60
,1999-01-01,39.93
,1994-01-01,35.54
,1989-01-01,51.20
,1987-01-01,72.40
Romania,2019-01-01,51.20
,2014-01-01,32.44
,2009-01-01,27.67
,2007-01-01,29.47
Slovakia,2019-01-01,22.74
,2014-01-01,13.05
,2009-01-01,19.64
,2004-01-01,16.97
Slovenia,2019-01-01,28.89
,2014-01-01,24.55
,2009-01-01,28.33
,2004-01-01,28.35
Spain,2019-01-01,64.30
,2014-01-01,43.81
,2009-01-01,44.90
,2004-01-01,45.14
,1999-01-01,63.05
,1994-01-01,59.14
,1989-01-01,54.60
,1987-01-01,68.90
Sweden,2019-01-01,55.27
,2014-01-01,51.07
,2009-01-01,45.53
,2004-01-01,37.85
,1999-01-01,38.84
,1995-01-01,41.63
United Kingdom,2019-01-01,36.90
,2014-01-01,35.40
,2009-01-01,34.48
,2004-01-01,39.21
,1999-01-01,24.02
,1994-01-01,36.43
,1989-01-01,36.21
,1984-01-01,32.57
,1979-01-01,32.34
